Centerline_X,Centerline_Y,Centerline_Z,CrossCenter_X,CrossCenter_Y,CrossCenter_Z,MaximumInscribedSphereRadius,Curvature,Torsion,EdgeArray_0,EdgeArray_1,EdgePCoordArray,FrenetTangent_X,FrenetTangent_Y,FrenetTangent_Z,FrenetNormal_X,FrenetNormal_Y,FrenetNormal_Z,FrenetBinormal_X,FrenetBinormal_Y,FrenetBinormal_Z,CenterlineSectionArea,CenterlineSectionMinSize,CenterlineSectionMaxSize,CenterlineSectionShape,CenterlineSectionClosed
356.87725830078125,299.0343933105469,-582.6648559570312,358.4464254785098,298.92039230600733,-580.5781968175397,4.886464695644129,0.03900914709933055,-0.38130627171734777,243127,245198,0.8360000000000006,-0.6866091838441987,0.48369150191554783,0.5427802130102801,0.5153187389917028,0.8504214857481996,-0.10597119335850647,-0.5128493208582856,0.20694402033522546,-0.833162497081265,128.62168684055084,11.03217726302626,15.577764249965549,0.7082002966536521,1
356.6174011230469,299.2207336425781,-582.4586181640625,357.73530184807385,298.70606431304077,-580.5885807094489,4.672979714508102,0.03648820752728909,-0.23468147527521052,245425,245425,0.0,-0.6786523586708437,0.49556692880735276,0.5420741601874678,0.5930405072124341,0.8051472670992409,0.006390233786221777,-0.433282740108257,0.32580868213580777,-0.8403063547119044,122.18323025326255,11.01538047048427,15.441625028451801,0.7133562983292238,1
356.34954833984375,299.41973876953125,-582.2433471679688,357.60834337925274,299.2863544273548,-580.5612576761729,4.532294429896993,0.03167693764149717,-0.08099364098242405,245461,245461,0.0,-0.6704954362639881,0.5063070709685055,0.542299750909455,0.6166488979976152,0.7867440069417065,0.027892725568415464,-0.4125287948101212,0.35311048898128305,-0.8397219635235869,117.61965979592101,13.742640036650359,15.279744368986687,0.8994024837577655,1
356.07391357421875,299.6311340332031,-582.01904296875,357.45053785377354,299.66872966625226,-580.3729379425972,4.461776846326626,0.026251088995946158,0.062104901395425904,244423,245292,0.25600000000000017,-0.6630227528298795,0.5155878112875429,0.5427430682022659,0.6373083509299835,0.7691182294855692,0.04790840122450635,-0.39273259995166365,0.37765904983821624,-0.8385313035364286,104.73355512024438,14.773504575352614,15.146236035197681,0.9753911493932292,1
355.79071044921875,299.85430908203125,-581.785888671875,356.097701056506,300.30789077734505,-581.8510185114924,4.260201236223374,0.020190396039259425,0.3457807559901487,245219,245462,0.5720000000000004,-0.6569001080806545,0.5233613910120412,0.5427477336678299,0.5932340549648851,0.8030543630746453,-0.05636529053145709,-0.4653553524281676,0.2849500734246566,-0.8380022981005116,78.01420786589094,8.99845136338811,10.845448018800976,0.8296984456325797,1
355.5,300.08837890625,-581.5448608398438,355.8085259125156,300.5898320496261,-581.6641221646098,4.150017795012689,0.015773569049275574,0.6024048526999065,225556,243768,0.4160000000000003,-0.6525263893750171,0.5298690183084638,0.5417085328901774,0.4985554946019528,0.8385586459527297,-0.21968572120219104,-0.5706590312712188,0.12672103509184832,-0.8113507560197654,74.57791377502646,8.538039950927288,10.811509014031166,0.7897176924929377,1
355.2020263671875,300.33233642578125,-581.2971801757812,355.54514532679366,300.8628676745023,-581.410242154428,4.108008401333037,0.013624088790400819,0.8766076235293054,247240,244712,0.2440000000000002,-0.6499003904880936,0.53545397124796,0.5393686374996346,0.27446192665505714,0.8271356717421707,-0.49042556147536004,-0.7087313547884118,-0.1706916084827162,-0.6845175246356849,72.36870379439499,8.27956055278037,10.734696967715951,0.7712896393517882,1
354.8970947265625,300.5851135253906,-581.0444946289062,355.26951864109407,301.13482072864093,-581.1477716719698,4.0648541173879735,0.014208836545829091,0.7526594013158985,247239,247238,0.5120000000000003,-0.6491273848644703,0.5403824803901452,0.5353694174179245,-0.024182473152424087,0.6887884394622398,-0.7245589649265302,-0.7602952362150154,-0.4832776226462039,-0.43404365360892827,70.87379948236912,8.170561667330869,10.66593499000534,0.7660427027716937,1
354.5855712890625,300.84552001953125,-580.7887573242188,355.07283072102797,301.42380537246936,-580.7863211261827,4.043909938535158,0.01773700809303871,0.36342712126961363,247393,247393,0.0,-0.6501731789286417,0.5449716560677783,0.529415462075455,-0.22274798982464714,0.5294574073467765,-0.8185708196819067,-0.7264008331705735,-0.6501390219702036,-0.2228476647414638,69.78458721016499,8.07147368984917,10.587966918763083,0.7623251708074003,1
354.2682800292969,301.1121826171875,-580.532470703125,354.79165659113244,301.678075533036,-580.4740853545799,4.050075406271958,0.020602052129394047,0.17536940673093454,247394,247395,0.4880000000000004,-0.6526460293960369,0.5494802219229977,0.5216556776543707,-0.3003205807991581,0.4444961232159649,-0.8439376429538111,-0.6956009697103964,-0.707456487821994,-0.12507841051326613,68.99276160583386,8.171533095531927,10.476213037175786,0.7800082975149996,1
